letter,unit-0,unit-1,unit-2,unit-3,unit-4,unit-5,unit-6,unit-7,unit-8,unit-9,unit-10,unit-11,unit-12,unit-13,unit-14,unit-15,unit-16,unit-17,unit-18,unit-19,unit-20,unit-21,unit-22,unit-23,unit-24,unit-25,unit-26,unit-27
A,0.513660514,0.226740795,0.179727216,0.181606416,0.207764688,0.422933599,0.301321177,0.413657612,0.397025511,0.267921515,0.317161971,1.616675159,0.824614067,0.040608429,0.867717886,0.177555206,0.824614067,0.076923077,0.750916923,0.236785797,1,0.040608429,0.650108,0.220230129,1.233485338,0.066069039,0.725690856,1.417878443
A,0.509980015,0.263455884,0.224324602,0.208280164,0.223184154,0.429231958,0.309094566,0.434432094,0.418637949,0.281801464,0.331405401,1.629823108,0.800760076,0.030309216,0.899230161,0.185742718,0.800760076,0.078907514,0.76676925,0.230385487,0.985347381,0.054406708,0.667108832,0.24436071,1.211020809,0.072854288,0.731688438,1.422525447
A,0.504307069,0.276408968,0.228289084,0.220390617,0.257066078,0.424642242,0.310506724,0.428794724,0.411553999,0.274896459,0.334893161,1.648240861,0.81942744,0.052057921,0.899470578,0.201101822,0.81942744,0.073621017,0.755909248,0.23570226,1.01940726,0.062101345,0.653481241,0.252566563,1.251099162,0.0823108,0.758868077,1.45063298
A,0.506048607,0.252572967,0.203668187,0.191078927,0.212442571,0.427858482,0.316227766,0.433041978,0.418875148,0.293264483,0.338382982,1.632610125,0.816972594,0.030212231,0.887254809,0.18514837,0.816972594,0.086631813,0.758187226,0.232501172,1.000659012,0.058722022,0.654598339,0.242535625,1.229538412,0.058722022,0.716722878,1.441840721
A,0.497787367,0.266783161,0.246292953,0.229270977,0.225805725,0.435614856,0.301733149,0.441011529,0.426468669,0.298580888,0.334767032,1.662965473,0.824929592,0.051266549,0.898789018,0.184844171,0.824929592,0.073937668,0.774990165,0.240023828,1.005974583,0.055215763,0.656291926,0.257151701,1.243063174,0.051266549,0.720071485,1.4662233
A,0.502153563,0.240457304,0.210400141,0.192720358,0.200381086,0.407961326,0.282139131,0.431285087,0.430353081,0.307341738,0.334852324,1.629167243,0.797632514,0.051087353,0.901325175,0.197352483,0.797632514,0.06720986,0.765458373,0.242121388,0.993150604,0.050095272,0.641923555,0.240457304,1.234012394,0.042507248,0.695945755,1.447814017
A,0.499767992,0.192887061,0.174448738,0.144805524,0.144805524,0.384569705,0.309585828,0.424259695,0.406502172,0.302307572,0.320193159,1.560465599,0.764845042,0.030460071,0.855054937,0.198575368,0.764845042,0.086690882,0.753848295,0.211253274,0.951603037,0.068110789,0.657542561,0.217315049,1.161363855,0.00963232,0.664071463,1.370093855
A,0.476915737,0.170485389,0.167174678,0.133739742,0.13909774,0.375535276,0.278813007,0.38031356,0.371159064,0.282489821,0.301627996,1.513547047,0.705310739,0.054071482,0.851165024,0.216484629,0.705310739,0.079770934,0.753128597,0.182895751,0.900406459,0.0622064,0.649718646,0.2114611,1.083217293,0.029324378,0.637156055,1.287103056
A,0.462811845,0.205122686,0.252263839,0.254479962,0.241343349,0.336561939,0.251520792,0.346211272,0.341420696,0.246256695,0.281707539,1.423474045,0.648539458,0.105618178,0.803386185,0.2329778,0.648539458,0.105263158,0.687975199,0.19055327,0.858351465,0.101275832,0.566661309,0.172401401,1.048783864,0.096738766,0.561418326,1.212133265
A,0.437240687,0.22800871,0.297107112,0.290281382,0.266142708,0.312881908,0.261711961,0.318805824,0.306407789,0.220105372,0.273204738,1.378683597,0.647491239,0.109976762,0.763562089,0.191360333,0.647491239,0.115605005,0.653193855,0.156173762,0.825989469,0.09877296,0.539765204,0.157875979,0.981792139,0.095330329,0.509252841,1.132988031
A,0.398815967,0.28637628,0.357248456,0.364382517,0.294008818,0.283856792,0.255440649,0.27853467,0.256376332,0.173869117,0.238347097,1.279263856,0.582494301,0.115019876,0.711221889,0.181120263,0.582494301,0.115019876,0.604185739,0.142664599,0.744369265,0.096945261,0.502969333,0.142244378,0.886899567,0.088216218,0.469864048,1.021352403
A,0.389398722,0.315770324,0.408260334,0.407754211,0.330647825,0.28503286,0.254524229,0.284307452,0.261160131,0.180793513,0.243990852,1.2881731,0.553578141,0.130805787,0.735510618,0.170030174,0.553578141,0.119243985,0.631587357,0.157604643,0.688569726,0.120229489,0.507888099,0.127146158,0.844825085,0.109977765,0.460998821,0.961743898
A,0.3971092,0.347261921,0.438407215,0.423392782,0.353668264,0.283468702,0.255515235,0.292496007,0.269031855,0.187023644,0.254472548,1.296125347,0.540091354,0.126070014,0.756263848,0.199852235,0.540091354,0.134241124,0.618952276,0.141734351,0.699651739,0.120314703,0.50940925,0.127236274,0.837983089,0.113491649,0.45875691,0.95304844
A,0.392335013,0.337105819,0.427894463,0.428370393,0.343690372,0.270946712,0.246061129,0.290041582,0.259421078,0.187052526,0.235544405,1.266723146,0.505946476,0.120641394,0.761055025,0.194528403,0.505946476,0.130382039,0.621789068,0.145771551,0.664513999,0.123030564,0.505658728,0.126299498,0.807270335,0.112656068,0.455379315,0.920296962
A,0.381907882,0.325876046,0.409428117,0.401869663,0.333438385,0.279179923,0.251649382,0.280102157,0.249935518,0.178184372,0.25062247,1.280102043,0.545746661,0.125995378,0.734672987,0.194042747,0.545746661,0.135422154,0.60775171,0.134785868,0.695234839,0.11555605,0.508622427,0.128695586,0.825304706,0.105170365,0.453019492,0.944320733
A,0.383763101,0.317898981,0.401570173,0.393462361,0.325959073,0.278318059,0.251728429,0.273866265,0.251402707,0.173963507,0.234889692,1.256144083,0.525593212,0.125864215,0.730551022,0.17998264,0.525593212,0.119405278,0.6166505,0.147820023,0.665190105,0.112576376,0.51083529,0.132214248,0.808157903,0.099160686,0.459492069,0.930796759
A,0.385377611,0.30613473,0.372770991,0.371915356,0.298849988,0.272259446,0.262428039,0.284280829,0.269712162,0.180266887,0.238693234,1.258096489,0.549952572,0.124090703,0.711019529,0.168230157,0.549952572,0.117722778,0.611748896,0.15594555,0.686861166,0.114057353,0.502845933,0.140732584,0.840266562,0.107589154,0.46846047,0.969179375
A,0.39133024,0.254442495,0.306587477,0.312557752,0.276234764,0.282659687,0.247178726,0.276521365,0.261605525,0.185268288,0.234009662,1.278712586,0.558364225,0.123749488,0.727988865,0.182973856,0.558364225,0.109966943,0.647114311,0.157205355,0.700711397,0.101215092,0.545059953,0.153981158,0.856930347,0.105806498,0.513070437,1.002847506
A,0.419368988,0.223069281,0.253782904,0.248041549,0.244630206,0.319438282,0.256722345,0.326224722,0.303738214,0.216098772,0.241295025,1.377424742,0.609301649,0.105377615,0.801633986,0.214285714,0.609301649,0.126120429,0.698007798,0.150429557,0.803653124,0.108741574,0.604504897,0.15687525,0.95407762,0.10336476,0.573630212,1.107027644
A,0.437560716,0.165117581,0.186053368,0.183232958,0.17849045,0.32584615,0.252423615,0.338028043,0.306167458,0.21832482,0.25459868,1.387005353,0.610430916,0.094253463,0.801680015,0.213644368,0.610430916,0.081719662,0.69873939,0.164560064,0.799039063,0.070445916,0.610581448,0.188181633,0.962506276,0.074256516,0.581807686,1.145707427
A,0.426476771,0.128650031,0.154257901,0.146019555,0.155209532,0.322790431,0.258897506,0.323792464,0.301759867,0.22571727,0.25337863,1.366017226,0.639715156,0.063286517,0.789590958,0.178011424,0.639715156,0.098283058,0.709269192,0.161896232,0.806747957,0.070756477,0.606731781,0.164064582,0.967884583,0.059940678,0.591941406,1.126784393
A,0.458079605,0.103003554,0.09878428,0.06914426,0.09778475,0.351358432,0.274795335,0.348832995,0.319329476,0.240613968,0.278464959,1.425812948,0.695644788,0.051182877,0.792673902,0.178774105,0.695644788,0.0871613,0.712619334,0.163865162,0.86197953,0.074611224,0.632061911,0.186308486,1.025479319,0.040463618,0.641830018,1.201026696
A,0.501838166,0.169975878,0.143044098,0.134491884,0.12953194,0.39413776,0.305190542,0.416255868,0.39413776,0.283357325,0.335833912,1.542782158,0.843450885,0.012794253,0.805174378,0.154593548,0.843450885,0.103150566,0.701062029,0.221787556,0.997951741,0.083408326,0.624301869,0.208863977,1.216631891,0.046130336,0.678035061,1.408123661
A,0.483749947,0.124505281,0.093378961,0.100675909,0.085461231,0.390870628,0.29967439,0.397112848,0.366262418,0.264820083,0.30885959,1.465863364,0.793568573,0.008632888,0.77609615,0.152975165,0.793568573,0.105377827,0.683035495,0.201536799,0.945843099,0.079591295,0.621627883,0.183131209,1.144012389,0.052511808,0.674747321,1.309156899
A,0.466755682,0.179585235,0.155585227,0.147474898,0.122659831,0.386441596,0.303168628,0.389226278,0.368990151,0.256597731,0.308767558,1.440254624,0.785358721,0.051781894,0.76945447,0.163748726,0.785358721,0.110521966,0.672112668,0.200178678,0.948746105,0.093351136,0.632137481,0.174537332,1.143671503,0.069579829,0.693224428,1.30045999
A,0.441583579,0.239032869,0.214366777,0.207570532,0.166780137,0.382516317,0.28800176,0.375994869,0.347146123,0.232957342,0.2993529,1.38920389,0.743794072,0.084669786,0.764141888,0.152640628,0.743794072,0.129242819,0.674175695,0.187041671,0.896220787,0.117931366,0.645492597,0.156123372,1.076472361,0.103005241,0.707182816,1.21193198
A,0.431065449,0.248604499,0.246560579,0.216079862,0.163665258,0.360018592,0.262980277,0.351195823,0.332849434,0.228819012,0.271935886,1.318795426,0.70474119,0.083767956,0.74318531,0.151014829,0.70474119,0.128571375,0.650940163,0.172692064,0.855728798,0.117608355,0.635095743,0.172692064,1.02083418,0.082141238,0.68073235,1.183660661
A,0.419690504,0.272682205,0.252155283,0.229945825,0.175121523,0.352687726,0.268776081,0.339608265,0.321616045,0.231378524,0.258369487,1.293764598,0.66728876,0.097557751,0.73672432,0.167600381,0.66728876,0.118371859,0.629785053,0.162596252,0.834880696,0.116401202,0.619201456,0.162799371,0.987228424,0.100560228,0.65816344,1.140175425
A,0.423928417,0.274672241,0.253235294,0.230271386,0.170825919,0.374450962,0.278531993,0.367544512,0.347845427,0.237573738,0.249269395,1.289928134,0.660529282,0.10123789,0.726910295,0.162935701,0.660529282,0.125417452,0.627087262,0.177367062,0.823195752,0.12283716,0.627087262,0.178964996,0.984614743,0.10263434,0.691226153,1.146152468
A,0.453890304,0.190953086,0.185929572,0.167476936,0.146482493,0.370820561,0.294159304,0.394993563,0.376078026,0.262276581,0.313544377,1.410042418,0.715314755,0.042698408,0.775519487,0.15096167,0.715314755,0.102215826,0.678643325,0.188922595,0.865144417,0.09018909,0.611290815,0.202536333,1.050075044,0.063773317,0.66739086,1.228703301
A,0.468534649,0.178210096,0.163619397,0.159303899,0.13809407,0.383004038,0.295683086,0.411172272,0.391433125,0.276453578,0.320672976,1.454205356,0.739554913,0.036334953,0.78907198,0.15791661,0.739554913,0.10900486,0.702319132,0.195294506,0.892530903,0.107309502,0.625188838,0.215641818,1.085226921,0.060558256,0.685191976,1.27561046
A,0.476387159,0.182389648,0.164937876,0.156635133,0.153140973,0.379895999,0.293283648,0.3993428,0.388256684,0.274210185,0.313385418,1.454064032,0.729410211,0.016989466,0.809321149,0.150527048,0.729410211,0.090300248,0.717641541,0.198856596,0.878085862,0.083663415,0.620348181,0.22346153,1.076420413,0.053725407,0.685130611,1.270608724
A,0.469424968,0.150619461,0.118390575,0.108852445,0.110825762,0.380604093,0.258515824,0.399497553,0.390072604,0.284970183,0.316330562,1.472553119,0.731044939,0.024041483,0.840162992,0.186418412,0.731044939,0.076025846,0.707540895,0.196236537,0.917443289,0.07212445,0.620554416,0.212668629,1.11284414,0.035046183,0.661250061,1.309019579
A,0.488910074,0.168006229,0.109615882,0.077739115,0.025295973,0.377561167,0.238492719,0.396393267,0.378689341,0.285320433,0.318188974,1.478702941,0.698635102,0.025295973,0.871110777,0.211305088,0.698635102,0.07541802,0.706729624,0.197387847,0.909287701,0.083472452,0.607630119,0.211473257,1.106134528,0.042159955,0.61870362,1.30763842
A,0.480197719,0.115944265,0.057972133,0.034146461,0.053028967,0.374971421,0.2631976,0.381049738,0.37037037,0.280236036,0.304064826,1.475729575,0.763043865,0.053028967,0.796296296,0.18332398,0.763043865,0.066769468,0.679152623,0.186108808,0.945170382,0.066769468,0.58806138,0.2072089,1.130994925,0.018518519,0.61284826,1.326008688
A,0.505949352,0.143104087,0.076095673,0.048999596,0.035652443,0.376279213,0.275266208,0.378524559,0.374397805,0.28173201,0.310014567,1.497449754,0.767241157,0.063998093,0.793394807,0.189588473,0.767241157,0.061177394,0.683364321,0.199745619,0.950917478,0.0605975,0.579892823,0.202379741,1.150370754,0.018790487,0.595275992,1.342014439
A,0.491713161,0.153014348,0.098968245,0.075514248,0.040953351,0.388431256,0.282785781,0.385048626,0.377571242,0.284912909,0.299939616,1.497123679,0.727633993,0.018314895,0.831504321,0.17681227,0.727633993,0.106478713,0.731312651,0.209943352,0.897616744,0.091574477,0.630681609,0.191213122,1.106225749,0.046333428,0.626894017,1.290699944
A,0.482822662,0.129931816,0.068243533,0.056298043,0.016085155,0.38233977,0.277672828,0.378343226,0.364764362,0.282407869,0.29275424,1.448959121,0.713798577,0.04100926,0.787721098,0.183398985,0.713798577,0.079210202,0.680774614,0.191169885,0.889823158,0.080425775,0.587163242,0.197166211,1.079624294,0.046895883,0.582684602,1.269734262
A,0.495118271,0.132343761,0.092694126,0.058624913,0.029312456,0.375910439,0.296710318,0.398692509,0.376613076,0.288350598,0.305165921,1.477077553,0.739991604,0.041454073,0.781688988,0.172459369,0.739991604,0.074953169,0.698075913,0.182694816,0.89653073,0.076696499,0.609790143,0.207270366,1.077069781,0.034491874,0.601606134,1.276199331
A,0.489348861,0.137772843,0.091889411,0.064191183,0.016437678,0.38768185,0.290579832,0.387071533,0.380737208,0.291508204,0.303095798,1.482720431,0.739695491,0.049993245,0.782906411,0.173376594,0.739695491,0.080946175,0.705720249,0.200141803,0.892226782,0.088900334,0.616467699,0.209540097,1.08886432,0.041094194,0.613722216,1.290174454
A,0.494434929,0.139204791,0.09719889,0.076561509,0.033217047,0.393905716,0.30079315,0.399382324,0.386750425,0.286827802,0.305569748,1.495343668,0.757465203,0.041521308,0.780114555,0.175178591,0.757465203,0.089439635,0.707082399,0.202221986,0.910178898,0.085497606,0.623704782,0.219866991,1.108300086,0.041521308,0.632433724,1.31839144
A,0.481672629,0.160303952,0.11364529,0.098588669,0.11452062,0.41088965,0.311016467,0.402789686,0.390026108,0.295766008,0.318210997,1.534287353,0.744238684,0.025801834,0.806075063,0.180612838,0.744238684,0.083208414,0.704253012,0.2196947,0.900110579,0.062139045,0.617359766,0.237881156,1.104517417,0.008159256,0.66811307,1.306118299
A,0.48791381,0.162151154,0.131849576,0.11692886,0.150269905,0.401833216,0.323347071,0.420490987,0.403063006,0.295558142,0.32094654,1.509230856,0.717873761,0.023596459,0.801044851,0.198982813,0.717873761,0.078654863,0.696617486,0.200531341,0.881285534,0.049745703,0.614213403,0.228640907,1.067853831,0.024872852,0.676111639,1.24932548
A,0.479214072,0.168144892,0.137364813,0.11692886,0.134635439,0.40908091,0.323347071,0.404900689,0.395548729,0.295558142,0.311655938,1.495890601,0.6771631,0.007865486,0.825913516,0.186960475,0.6771631,0.086520349,0.737554498,0.211053145,0.820766417,0.063413578,0.644057987,0.214685996,1.017813378,0.017587762,0.678896728,1.196484995
A,0.487244182,0.177656048,0.154264384,0.148425223,0.184283365,0.413217428,0.334068961,0.423775779,0.40277412,0.299496695,0.305651023,1.493262231,0.686865246,0.02383506,0.811831771,0.19477456,0.686865246,0.0794502,0.728259794,0.213187258,0.829065789,0.040511812,0.636097971,0.230542523,1.028105237,0.025124359,0.703840888,1.206204764
A,0.46704586,0.157673882,0.135009091,0.122231488,0.147692869,0.410013315,0.325053035,0.405617048,0.396150725,0.297502503,0.294676771,1.449770567,0.654001287,0.024446298,0.799846098,0.188093569,0.654001287,0.077691549,0.724905894,0.197546657,0.784912715,0.047023392,0.623260743,0.209298002,0.97325743,0.021865433,0.667388402,1.137344128
A,0.478364582,0.188838184,0.150180223,0.138349217,0.172473268,0.406290074,0.336085358,0.407862381,0.395802419,0.297300667,0.304492423,1.465003721,0.663407659,0.046844988,0.803262169,0.199052924,0.663407659,0.054652486,0.716633057,0.202544015,0.801172563,0.034916193,0.6227428,0.21874932,0.98896687,0.032191139,0.680865756,1.153609022
A,0.469219104,0.177396064,0.147354219,0.142218339,0.170382919,0.409073182,0.31660378,0.395242379,0.38909893,0.276482538,0.278625845,1.438156001,0.607165227,0.031800987,0.832311489,0.196640433,0.607165227,0.06984303,0.747193838,0.21733336,0.742080937,0.030851489,0.646824486,0.208390335,0.94390559,0.039328087,0.700344098,1.10218538
A,0.475281371,0.177126909,0.161571927,0.146386455,0.169440599,0.416111333,0.308140506,0.401928106,0.388141878,0.272889565,0.283737059,1.441718852,0.623395947,0.056012447,0.818668696,0.188618308,0.623395947,0.046800174,0.732376961,0.213358416,0.749513941,0.017204086,0.635573993,0.200189338,0.94246365,0.046800174,0.681985256,1.091558261
A,0.480813404,0.184190818,0.161166966,0.155209532,0.169015916,0.415564766,0.315500526,0.400259075,0.385415589,0.2722056,0.273931168,1.454152681,0.631560864,0.046682875,0.823762132,0.188145559,0.631560864,0.046682875,0.738121068,0.202615714,0.761335974,0.017160966,0.648357567,0.199540053,0.944819904,0.039133024,0.698390186,1.090768079
A,0.462383696,0.175000619,0.152220743,0.152789086,0.174835446,0.410764664,0.319626501,0.397902742,0.385361401,0.282487015,0.282077613,1.429938591,0.61285584,0.038760407,0.817651673,0.184953478,0.61285584,0.061285584,0.743941981,0.207481695,0.729906298,0.015203082,0.643981103,0.197786199,0.921042074,0.045609247,0.690778942,1.066927142
A,0.471411397,0.175680042,0.15352718,0.137488729,0.15352718,0.405475937,0.313541148,0.391419044,0.383589872,0.273808014,0.284262439,1.454281892,0.628569155,0.038947651,0.826980844,0.185846953,0.628569155,0.055607392,0.749717956,0.198153671,0.751660938,0.031493364,0.652121571,0.198741666,0.935149231,0.030553051,0.692180024,1.084579512
